Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCPMC    ,L.BED     ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.PTOTST ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,F.STRESS  ,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.OTA     ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.OPLD    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.RADNM   ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.POD     ,34310,TXG ,Medical City Plano
COCLV     ,F.CCL     ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,Y.NUR2    ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.SMURFSTO,26620,TNB ,Parkridge West Hospital
COCWY     ,J.FRMM    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CENG    ,34632,VAA ,CJW Medical Center
.         ,PHPIOP    ,37969,FLJ ,JFK Medical Center
COCNB     ,F.PSTX    ,27450,COA ,North Suburban
COCCM     ,I.HIST    ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.MHS     ,31201,IDB ,West Valley Medical Center
COCBM     ,V.ECPS    ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.3W      ,34318,TXG ,Medical City Fort Worth
COCST     ,L.UR      ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.2EP     ,8409,VAC ,Dominion Hospital
COCER_O   ,W.NONINV  ,25901,OKA ,Edmond OUMC
COCLR     ,SM.PG     ,30936,FLG ,Largo Medical Center
COCUB     ,X.DDUREF  ,27200,COA ,P-SL Medical Center
COCAS     ,M.RXM     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EK.RAD    ,33608,OKA ,OU Medical Center
COCID     ,R.IFFIRE  ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.CLIN    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.BMTPHO  ,34222,TNA ,Centennial Medical Center
COCNW     ,H.UR      ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.4OUT   ,27300,COA ,Rose Medical Center
COCVH     ,V.ADMN    ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.OPS     ,34223,TNA ,Summit Medical Center
COCZR     ,H.XMS     ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.DSI     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.ES      ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.XI14    ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.OROP    ,30928,FLI ,West Florida Hospital
COCAA     ,N.CHEMO   ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.SGR    ,27100,COA ,Swedish Medical Center
COCNV     ,G.EP      ,34293,TNA ,Skyline Medical Center
COCKN     ,ICUB      ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HR.VAHCS  ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.CPI    ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.ENG     ,30916,FLL ,North Florida Regional Medical
COCOP     ,G.4THFLOOR,30913,FLH ,Orange Park Medical Center
COCUH     ,USCRIPTRX2,35940,FLB ,University Hospital
COCSW     ,X.IPER    ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.XMS     ,34327,TXA ,West Houston Medical Center
COCHN     ,E.CAN     ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.LABD    ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.BR      ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.NPSYCH  ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.ZAMN    ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.BD      ,34325,TXG ,Medical City Dallas
COCTU     ,D.MEDI2   ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.DCLOUNGE,9727,KSA ,Research Medical Center
COCJR     ,F.PACUIP  ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.TAC     ,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.CNS     ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.DYL     ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.VOL    ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,F.ALTCLA  ,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.ZFT05   ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.QM      ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.SF      ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.OPSNH   ,34310,TXG ,Medical City Plano
COCLV     ,F.GHH     ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,D.OPS     ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,GV.NVEC   ,26620,TNB ,Parkridge West Hospital
COCWY     ,J.SURG    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CFAMHH  ,34632,VAA ,CJW Medical Center
.         ,06TCU     ,37969,FLJ ,JFK Medical Center
COCNB     ,X.PHONE   ,27450,COA ,North Suburban
COCCM     ,I.DIA     ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.PRHWEST ,31201,IDB ,West Valley Medical Center
COCBM     ,V.SL      ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.CAT     ,34318,TXG ,Medical City Fort Worth
COCST     ,L.ADMN    ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.2SP     ,8409,VAC ,Dominion Hospital
COCER_O   ,W.PMC     ,25901,OKA ,Edmond OUMC
COCLR     ,SM.LAB    ,30936,FLG ,Largo Medical Center
COCUB     ,X.A8OUT   ,27200,COA ,P-SL Medical Center
COCAS     ,K.4CUC    ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EUR.HORSP ,33608,OKA ,OU Medical Center
COCID     ,D.OR      ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.ORGAN   ,34372,TXG ,Medical City Lewisville
COCCT     ,M.LASER   ,34222,TNA ,Centennial Medical Center
COCNW     ,J.MAXS    ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.PSC    ,27300,COA ,Rose Medical Center
COCVH     ,LD        ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.RAD     ,34223,TNA ,Summit Medical Center
COCZR     ,H.DIAB    ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.POS     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.MOB     ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.WAIT3RDF,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.RADICMRI,30928,FLI ,West Florida Hospital
COCAA     ,X.PROG    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.PCUEAST,27100,COA ,Swedish Medical Center
COCNV     ,G.HOPS    ,34293,TNA ,Skyline Medical Center
COCKN     ,DOC       ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,H.PMUE    ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.CPN    ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.2INF    ,30916,FLL ,North Florida Regional Medical
COCOP     ,EMG       ,30913,FLH ,Orange Park Medical Center
COCUH     ,ER        ,35940,FLB ,University Hospital
COCSW     ,W.HICCR   ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.SURG    ,34327,TXA ,West Houston Medical Center
COCHN     ,Q.TEST    ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.PTMIL   ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.MTVFC   ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.OBN     ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.PBX     ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.NUTR    ,34325,TXG ,Medical City Dallas
COCTU     ,D.DEP1    ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.MUE     ,9727,KSA ,Research Medical Center
COCJR     ,F.Z/TWD   ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.TRR     ,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.3E      ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.FNS     ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.DIAB   ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,F.HOUCAL  ,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.XI11    ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.CPCU    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.GIADM   ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.ADM     ,34310,TXG ,Medical City Plano
COCLV     ,F.HHC     ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,MADCOCNW  ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.NEC     ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.5WN     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JHIM    ,34632,VAA ,CJW Medical Center
.         ,ZCPDO     ,37969,FLJ ,JFK Medical Center
COCNB     ,F.WFNS    ,27450,COA ,North Suburban
COCCM     ,I.SS      ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.TEST    ,31201,IDB ,West Valley Medical Center
COCBM     ,V.VAS     ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.BRAD.RAD,34318,TXG ,Medical City Fort Worth
COCST     ,X.EROV    ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.2M-0    ,8409,VAC ,Dominion Hospital
COCER_O   ,W.P2R     ,25901,OKA ,Edmond OUMC
COCLR     ,M.EROF    ,30936,FLG ,Largo Medical Center
COCUB     ,X.PATH    ,27200,COA ,P-SL Medical Center
COCAS     ,K.TCU     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EUR.GARDOU,33608,OKA ,OU Medical Center
COCID     ,D.PRE2    ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.MCRB    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.FCECS   ,34222,TNA ,Centennial Medical Center
COCNW     ,J.CPUL    ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.BB     ,27300,COA ,Rose Medical Center
COCVH     ,V.SPHA    ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.EKG     ,34223,TNA ,Summit Medical Center
COCZR     ,H.GEDU    ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.IS      ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.PO      ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.XI97    ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.LABTOAKS,30928,FLI ,West Florida Hospital
COCAA     ,O.RTX     ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.DTRY   ,27100,COA ,Swedish Medical Center
COCNV     ,G.IS      ,34293,TNA ,Skyline Medical Center
COCKN     ,CONVLOC   ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,H.2SOUTH  ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.G6     ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.D.5NUR  ,30916,FLL ,North Florida Regional Medical
COCOP     ,G.STAFFING,30913,FLH ,Orange Park Medical Center
COCUH     ,UADMU     ,35940,FLB ,University Hospital
COCSW     ,X.GMED    ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.HEC     ,34327,TXA ,West Houston Medical Center
COCHN     ,E.NRS     ,34296,TNA ,Hendersonville Medical Center
COCGO     ,NETJS.GO  ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.SE      ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.ECH     ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.YACU    ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.XMS     ,34325,TXG ,Medical City Dallas
COCTU     ,D.LSOPSIN ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.HIMTRAN ,9727,KSA ,Research Medical Center
COCJR     ,F.ENCHCS  ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.PPCPATH ,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.NRS     ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.PHA     ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.EDPEDS ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,F.MCRB    ,34630,VAB ,LewisGale Medical Center
COCSZ     ,MADCOCSZ  ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.OPPI    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.PTX     ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.OBED    ,34310,TXG ,Medical City Plano
COCLV     ,F.EMER    ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,D.DIABED  ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.FASTTRK5,26620,TNB ,Parkridge West Hospital
COCWY     ,J.LARK    ,31608,KSB ,Wesley Medical Center
COCCC     ,CHCIS     ,34632,VAA ,CJW Medical Center
.         ,ZEDPTOP   ,37969,FLJ ,JFK Medical Center
COCNB     ,F.FERT    ,27450,COA ,North Suburban
COCCM     ,I.CL5     ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.SUN     ,31201,IDB ,West Valley Medical Center
COCBM     ,V.PFL     ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.MRI     ,34318,TXG ,Medical City Fort Worth
COCST     ,X.OBED    ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.PHA     ,8409,VAC ,Dominion Hospital
COCER_O   ,W.NM      ,25901,OKA ,Edmond OUMC
COCLR     ,M.LROKQCCS,30936,FLG ,Largo Medical Center
COCUB     ,X.A8ONCD  ,27200,COA ,P-SL Medical Center
COCAS     ,M.AUD     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,E.PACU    ,33608,OKA ,OU Medical Center
COCID     ,D.ENG     ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.RADM    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.SURGA   ,34222,TNA ,Centennial Medical Center
COCNW     ,J.LIN     ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.NUTCON ,27300,COA ,Rose Medical Center
COCVH     ,D.ACCT    ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.MM      ,34223,TNA ,Summit Medical Center
COCZR     ,H.REGOUT  ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.RXS     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.PR      ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.SF      ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.LIB     ,30928,FLI ,West Florida Hospital
COCAA     ,G.ND      ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.ERCARD ,27100,COA ,Swedish Medical Center
COCNV     ,G.SDC-240 ,34293,TNA ,Skyline Medical Center
COCKN     ,NEUROSC   ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HP.EDU    ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.PTOT   ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.OR      ,30916,FLL ,North Florida Regional Medical
COCOP     ,G.RECT    ,30913,FLH ,Orange Park Medical Center
COCUH     ,UHT1      ,35940,FLB ,University Hospital
COCSW     ,W.DHA     ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.PK-NOTE ,34327,TXA ,West Houston Medical Center
COCHN     ,E.CSH     ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.CARD    ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.CR      ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.PRH5    ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.YLC     ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.INP     ,34325,TXG ,Medical City Dallas
COCTU     ,D.LVCANCCE,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.PHYLOUNG,9727,KSA ,Research Medical Center
COCJR     ,F.AD SCAN ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.SINFO   ,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.VIP     ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.TRICARE ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.OTST   ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,F.CPOEPEDS,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.ADMER   ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.NR      ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.PMTWNDW ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.FERT    ,34310,TXG ,Medical City Plano
COCLV     ,F.BB      ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,Y.BB      ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.MCRB    ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.EENT    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.EH      ,34632,VAA ,CJW Medical Center
.         ,Z4NPTO    ,37969,FLJ ,JFK Medical Center
COCNB     ,F.CVRR    ,27450,COA ,North Suburban
COCCM     ,I.CRDL    ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.ZSNOW   ,31201,IDB ,West Valley Medical Center
COCBM     ,V.CTS     ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.PATOP   ,34318,TXG ,Medical City Fort Worth
COCST     ,X.JNTSPN  ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.IS      ,8409,VAC ,Dominion Hospital
COCER_O   ,W.WOM     ,25901,OKA ,Edmond OUMC
COCLR     ,M.CF      ,30936,FLG ,Largo Medical Center
COCUB     ,X.A10OUT  ,27200,COA ,P-SL Medical Center
COCAS     ,K.LC      ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EC.APT    ,33608,OKA ,OU Medical Center
COCID     ,R.SBCL    ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.PDOC    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.P2B     ,34222,TNA ,Centennial Medical Center
COCNW     ,J.ET      ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.NM     ,27300,COA ,Rose Medical Center
COCVH     ,DECAR     ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.GURM    ,34223,TNA ,Summit Medical Center
COCZR     ,H.CPN     ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.ADN     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.ACC     ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.3ONC    ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.PT      ,30928,FLI ,West Florida Hospital
COCAA     ,Q.ABGL    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.RMS    ,27100,COA ,Swedish Medical Center
COCNV     ,G.RECTX   ,34293,TNA ,Skyline Medical Center
COCKN     ,FANS      ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HP.GPW    ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.HCIEC  ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.D.ENG   ,30916,FLL ,North Florida Regional Medical
COCOP     ,G.NSY2N   ,30913,FLH ,Orange Park Medical Center
COCUH     ,UPDR      ,35940,FLB ,University Hospital
COCSW     ,W.GCOP    ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.OHRR    ,34327,TXA ,West Houston Medical Center
COCHN     ,E.MAIL    ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.CDPHP   ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.OL      ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.SRG     ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.ERN     ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.6SN     ,34325,TXG ,Medical City Dallas
COCTU     ,D.ZWJEF   ,31810,LAB ,Tulane University Hospital & C
COCRC     ,L.ZMCRB   ,9727,KSA ,Research Medical Center
COCJR     ,F.Z/CS    ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.SOPSLEEP,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.IVT     ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.PO      ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.PCIN   ,27150,COA ,Sky Ridge Medical Center
COCEAF    ,LYNC      ,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.CSH     ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,W.CONS    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.ECBCOA  ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.PREADM  ,34310,TXG ,Medical City Plano
COCLV     ,F.PPD     ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,D.VOPHP   ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.CASHEXP ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.PHADVT  ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CMSIC   ,34632,VAA ,CJW Medical Center
.         ,ORTRAUMA  ,37969,FLJ ,JFK Medical Center
COCNB     ,F.US      ,27450,COA ,North Suburban
COCCM     ,I.NM      ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.WVMG    ,31201,IDB ,West Valley Medical Center
COCBM     ,V.S3WS    ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.E4E     ,34318,TXG ,Medical City Fort Worth
COCST     ,L.RROV    ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.3A      ,8409,VAC ,Dominion Hospital
COCER_O   ,W.NUR     ,25901,OKA ,Edmond OUMC
COCLR     ,SM.OS     ,30936,FLG ,Largo Medical Center
COCUB     ,X.C4SP    ,27200,COA ,P-SL Medical Center
COCAS     ,K.TRICARE ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EP.VSUR   ,33608,OKA ,OU Medical Center
COCID     ,D.AMAD    ,31202,IDA ,Eastern Idaho RMC
COCLE     ,TL        ,34372,TXG ,Medical City Lewisville
COCCT     ,PARMCOCCT ,34222,TNA ,Centennial Medical Center
COCNW     ,J.LDN     ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.PTS    ,27300,COA ,Rose Medical Center
COCVH     ,V.CVS     ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.SDC-530 ,34223,TNA ,Summit Medical Center
COCZR     ,H.KHCC    ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.FMG     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.CP      ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.SRFR    ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.OP505C  ,30928,FLI ,West Florida Hospital
COCAA     ,M.ADM     ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.ONCRHAB,27100,COA ,Swedish Medical Center
COCNV     ,G.PATHD   ,34293,TNA ,Skyline Medical Center
COCKN     ,MOB S/505 ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HP.LCA    ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.CNV    ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.NUR5    ,30916,FLL ,North Florida Regional Medical
COCOP     ,G.NAVYMAYP,30913,FLH ,Orange Park Medical Center
COCUH     ,UARR      ,35940,FLB ,University Hospital
COCSW     ,W.ZCCUN   ,35955,FLC ,Southwest Florida Reg Med Cent
COCWU     ,Z.PAIN    ,34327,TXA ,West Houston Medical Center
COCHN     ,E.HH      ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.3CVP    ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.NSCSEC  ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.CM      ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.YBB     ,8158,GAA ,Coliseum Medical Centers
COCDL     ,H.4N      ,34325,TXG ,Medical City Dallas
COCTU     ,D.ZBMCCHCM,31810,LAB ,Tulane University Hospital & C
COCRC     ,L.ZEKG    ,9727,KSA ,Research Medical Center
COCJR     ,F.Z/DS    ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.EMP     ,34001,SCA ,Trident Regional Medical Cente
COCCN     ,F.RXS     ,30953,FLF ,Central Florida Regional Hospi
COCPMC    ,L.SRG     ,26516,TXA ,Pearland Medical Center
COCSR     ,AS.PREOPHL,27150,COA ,Sky Ridge Medical Center
COCEAF    ,PARMCOCEAF,34630,VAB ,LewisGale Medical Center
COCSZ     ,D.L/D     ,32801,NVA ,Sunrise Hospital And Medical C
COCWM     ,H.ZTEXSAN ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.ERP     ,30930,FLI ,Gulf Coast Regional Medical Ce
COCLV     ,F.ADN     ,31824,LAB ,Lakeview Regional Medical Cent
COCDO     ,D.NIC     ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.OH      ,26620,TNB ,Parkridge West Hospital
COCWY     ,J.KQC     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.STO     ,34632,VAA ,CJW Medical Center
.         ,ERHDCP    ,37969,FLJ ,JFK Medical Center
COCNB     ,U         ,27450,COA ,North Suburban
COCCM     ,I.MAIL    ,9726,KSA ,Centerpoint Medical Center
COCVT     ,M.MERCY   ,31201,IDB ,West Valley Medical Center
COCBM     ,V.END     ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.RHB GYM ,34318,TXG ,Medical City Fort Worth
COCST     ,X.WER     ,39307,TXB ,Las Palmas Medical Center
COCXS     ,J.TR      ,8409,VAC ,Dominion Hospital
COCER_O   ,W.ZADDPRT1,25901,OKA ,Edmond OUMC
COCLR     ,SM.SP     ,30936,FLG ,Largo Medical Center
COCUB     ,X.EYED    ,27200,COA ,P-SL Medical Center
COCAS     ,K.ERIPPSY ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EUR.CCSCMO,33608,OKA ,OU Medical Center
COCID     ,R.PT      ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.IFEE    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.WCC     ,34222,TNA ,Centennial Medical Center
COCNW     ,J.EKGO    ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.2OUT   ,27300,COA ,Rose Medical Center
COCVH     ,DSWHCUS   ,39309,TXB ,Del Sol Medical Center
COCDE     ,D.ENDO    ,34223,TNA ,Summit Medical Center
COCZR     ,H.2N      ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.MKT     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,MADCOCGC  ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.CARHOP  ,30555,CAC ,Los Robles Hospital And Medica
COCWR     ,H.RADMOBUS,30928,FLI ,West Florida Hospital
COCAA     ,Y.FERT    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.NEUROS ,27100,COA ,Swedish Medical Center
COCNV     ,G.SDC-422 ,34293,TNA ,Skyline Medical Center
COCKN     ,CRCU-B    ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HP.ASC    ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.UWCLDR ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.LAB.PATH,30916,FLL ,North Florida Regional Medical
COCOP     ,G.NATIONAL,30913,FLH ,Orange Park Medical Center
COCUH     ,U.MAMMO   ,35940,FLB ,University Hospital
COCSW     ,W.CVA     ,35955,FLC ,Southwest Florida Reg Med Cent
